original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
"despite the modest gains , traders said the market remains dull , with investors remaining cautiously on the sidelines .",traders,said,remains said remaining,market traders investors,"despite the modest gains , traders the market dull remains , with investors remaining cautiously on the sidelines said ."
prices were mixed in zurich and lower in stockholm .,prices,were,were,prices,prices were mixed in zurich and lower in stockholm .
"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul .",stocks,closed,closed,stocks,"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul ."
taipei was closed for a holiday .,taipei,closed,closed,taipei,taipei was closed for a holiday .
he said summer drought problems that had hit several southern agricultural regions had stopped being a major source of price pressure in september .,he,said,stopped said,problems he,he summer drought problems that several southern agricultural regions had hit being a major source of price pressure had stopped in september said .
"metromedia said its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million .",metromedia,said,said is,metromedia unit,"metromedia its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million said ."
"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said .",banxquote,said,was said,yield banxquote,"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said ."
"for longer-term cds , yields were up .",yields,were,were,yields,"for longer-term cds , yields were up ."
"feeling the naggings of a culture imperative , i promptly signed up .",i,signed,signed,i,"the naggings of a culture imperative feeling , i promptly signed up ."
we were coming down straight into their canal .,we,coming,coming,we,we were coming down straight into their canal .
i looked at my watch .,i,looked,looked,i,i looked at my watch .
a whole morning of ballooning and i had been off the ground barely 30 minutes .,i,been,been,i,a whole morning of ballooning and i had been off the ground barely 30 minutes .
"at the same time , they contend that a reduction of nato forces under a treaty will increase the possibility of a conventional soviet attack unless the west retains a residual force of nuclear weapons in europe .",they,contend,retains contend increase,west they reduction,"at the same time , they that a reduction of nato forces under a treaty the possibility of a conventional soviet attack will increase unless the west a residual force of nuclear weapons retains in europe contend ."
tanks currently are defined as armored vehicles weighing 25 tons or more that carry large guns .,tanks,defined,defined,tanks,tanks currently are defined as armored vehicles 25 tons or more weighing that large guns carry .
coke has tended to increase its control when results were sluggish in a given country .,coke,tended,tended were,coke results,coke its control to increase when results were sluggish in a given country has tended .
"ifi also has nonvoting preferred shares , which are quoted on the milan stock exchange .",ifi,has,has,ifi,"ifi nonvoting preferred shares , which are quoted on the milan stock exchange also has ."
"it raised financing of 300 billion lire for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a.",it,raised,raised,it,"it financing of 300 billion lire raised for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by a chunk of its ifi shares selling to mediobanca s.p . a."
"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it,treats,treats,it,"and it such activities treats in a frivolous , cavalier fashion , with total indifference to common sense and public safety ."
"democrats argued that the training wage was a way of allowing employers to pay less than the minimum wage , while new workers need far less than six months to be trained for their jobs .",democrats,argued,argued was need,democrats wage workers,"democrats that the training wage was a way of employers less than the minimum wage to pay , while new workers need far less than six months to be trained for their jobs allowing argued ."
republicans have been imploring the white house to compromise on the wage issue .,republicans,imploring,imploring,republicans,republicans the white house to compromise on the wage issue have been imploring .
"analysts expect armstrong to use proceeds of the sale to reduce debt , buy back stock or perhaps finance an acquisition .",analysts,expect,expect,analysts,"analysts armstrong proceeds of the sale to use debt to reduce , stock buy back or an acquisition perhaps finance expect ."
"analysts hailed the planned transaction as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share .",analysts,hailed,hailed,analysts,"analysts the planned transaction hailed as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share ."
"yesterday , armstrong reported flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year .",armstrong,reported,reported,armstrong,"yesterday , armstrong flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year reported ."
"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million .",earnings,were,were,earnings,"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million ."
"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share .",earnings,were,were,earnings,"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share ."
"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong,announced,announced,armstrong,"yesterday , armstrong an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd announced ."
"armstrong expects to close the sale of the color unit in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results .",armstrong,expects,applied expects,gains armstrong,"armstrong the sale of the color unit to close in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results expects ."
"these include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods .",these,include,include,these,"these new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods include ."
"after various adjustments , they produced a 0.5 % rise in the index for august and a 0.2 % rise for september .",they,produced,produced,they,"after various adjustments , they a 0.5 % rise in the index for august and a 0.2 % rise for september produced ."
"he is 37 , an astronomer with impressive credentials , and something of a genius at making computers do his bidding .",he,is,is do,he computers,"he is 37 , an astronomer with impressive credentials , and something of a genius at computers his bidding do making ."
they promised yet more for really good stuff .,they,promised,promised,they,they yet more for really good stuff promised .
some nights he slept under his desk .,he,slept,slept,he,some nights he slept under his desk .
tymnet is a major network linking computers .,tymnet,is,is,tymnet,tymnet is a major network computers linking .
he savored the humor of his uncombed appearance among these buttoned-up chaps .,he,savored,savored,he,he the humor of his uncombed appearance among these buttoned-up chaps savored .
he became angry in return .,he,became,became,he,he angry became in return .
mips also wants to wedge into markets other than traditional risc applications such as engineering ; mips said the new machine will also be used by businesses and for communications .,mips,wants,said wants used,mips mips machine,mips to wedge into markets other than traditional risc applications such as engineering also wants ; mips the new machine will also be used by businesses and for communications said .
"a year earlier unifirst earned $ 2.4 million , or 24 cents a share adjusted for the split .",unifirst,earned,earned,unifirst,"unifirst $ 2.4 million , or 24 cents a share adjusted for the split a year earlier earned ."
"healthcare has given healthvest a 12 % note for that overdue amount , to be repaid over three years .",healthcare,given,given,healthcare,"healthcare a 12 % note for that overdue amount , to be repaid over three years has given healthvest ."
"we innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec .",we,innovated,innovated,we,"we telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec innovated ."
"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare .",he,heralded,heralded marched,he judge,"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare ."
"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it,was,was,it,"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains ."
"while his case may be extreme , it reflects the vulnerability of many small communities to domineering judges .",it,reflects,reflects,it,"while his case may be extreme , it the vulnerability of many small communities to domineering judges reflects ."
"bailiffs claimed they were required to chauffeur him to and from work , mow his lawn , chop his wood , fix his car and even drop by his house to feed his two grown mutts , dixie and husky .",bailiffs,claimed,required claimed,they bailiffs,"bailiffs they him to chauffeur to and from work , his lawn mow , his wood chop , his car fix and his house even drop by his two grown mutts , dixie and husky to feed were required claimed ."
"even if only some of the allegations stand up , however , they provide ample testimony to the awesome power of judges in rural communities .",they,provide,provide,they,"if only some of the allegations even stand up , , they ample testimony to the awesome power of judges in rural communities however provide ."
"he sipped tea sweetened with honey from his high-backed leather chair at his bench , while scribbling notes ordering spectators to stop whispering or to take off their hats in his courtroom .",he,sipped,stop sipped,spectators he,"he tea sweetened with honey sipped from his high-backed leather chair at his bench , while notes spectators whispering to stop or their hats to take off in his courtroom ordering scribbling ."
"but when the judge received his payment book , he disavowed the deal .",he,disavowed,disavowed received,he judge,"but the judge his payment book when received , he the deal disavowed ."
"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason,is,is,mason,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees ."
"mason serves commercial and government customers , including the national institutes of health .",mason,serves,serves,mason,"mason commercial and government customers , including the national institutes of health serves ."
"although the action removes one obstacle in the way of an overall settlement to the case , it also means that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c .",it,means,means removes rules stripped,it action court hunt,"although the action one obstacle in the way of an overall settlement to the case removes , it that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c also means ."
japan has found another safe outlet for its money : u.s. home mortgages .,japan,found,found,japan,japan another safe outlet for its money : u.s. home mortgages has found .
that may not come as a surprise to americans who have watched the japanese snap up properties in the u.s. from golf courses to a stake in rockefeller center .,that,come,snap come watched,japanese that americans,that may not come as a surprise to americans who the japanese properties in the u.s. from golf courses to a stake in rockefeller center snap up have watched .
"but it marks a big change for the japanese , who shunned mortgage securities after getting burned by a big downturn in interest rates a few years back .",it,marks,marks shunned,it japanese,"but it a big change for the japanese , who mortgage securities shunned after getting burned a few years back by a big downturn in interest rates marks ."
"first , they are safe .",they,are,are,they,"first , they are safe ."
"second , they are liquid .",they,are,are,they,"second , they are liquid ."
"he said his suit against enfield seeks two years severance pay , equivalent to c$ 720,000 .",he,said,seeks said,suit he,"he his suit against enfield two years severance pay , equivalent to c$ 720,000 seeks said ."
enfield is a holding company with interests in manufacturing concerns .,enfield,is,is,enfield,enfield is a holding company with interests in manufacturing concerns .
"it is 38.5 % owned by canadian express , another holding company .",it,owned,owned,it,"38.5 % it is owned by canadian express , another holding company ."
"first of all , it is a friendly acquisition in which rockefeller sought out mitsubishi estate and asked it to buy a majority share .",it,is,is sought,it rockefeller,"first of all , it is a friendly acquisition in which rockefeller mitsubishi estate sought out and it a majority share to buy asked ."
"rockefeller may well have found its match in mitsubishi estate , a company of long history , strong government ties and sound resources .",rockefeller,found,found,rockefeller,"rockefeller its match may well have found in mitsubishi estate , a company of long history , strong government ties and sound resources ."
"at the time , japan had just opened its doors to the world after about 250 years of isolation and needed a western-style business center .",japan,opened,opened,japan,"at the time , japan its doors had just opened to the world after about 250 years of isolation and a western-style business center needed ."
analysts say the company also could easily issue new convertible bonds or warrants .,analysts,say,issue say,company analysts,analysts the company new convertible bonds or warrants also could easily issue say .
"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it,is,is,it,"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo ."
"mitsubishi is also pushing ahead with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi,pushing,pushing,mitsubishi,"mitsubishi is also pushing ahead with a controversial plan marunouchi to redevelop into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen ."
sony is acquiring columbia and guber-peters entertainment co. in two separate transactions valued at more than $ 5 billion .,sony,acquiring,acquiring,sony,sony columbia and guber-peters entertainment co. is acquiring in two separate transactions valued at more than $ 5 billion .
warner has a five-year exclusive contract with mr. guber and mr. peters that requires them to make movies exclusively at the warner bros. studio .,warner,has,has,warner,warner a five-year exclusive contract with mr. guber and mr. peters that them movies to make exclusively at the warner bros. studio requires has .
"but it may amount to little more than posturing ; the two have continued on-again , off-again settlement talks over the last few weeks , and people familiar with the talks say the matter could be resolved within a week .",it,amount,amount resolved say,it matter people,"but it may amount to little more than posturing ; the two on-again , off-again settlement talks have continued over the last few weeks , and people familiar with the talks the matter could be resolved within a week say ."
"once a studio chooses not to actually make a movie that is in development , producers are typically free to take it elsewhere .",producers,are,are chooses,producers studio,"a studio a movie that is in development not to actually make once chooses , producers are typically free it to take elsewhere ."
goya concocts a milk for hispanic tastes,goya,concocts,concocts,goya,goya a milk for hispanic tastes concocts
that compares with 3.5 % butterfat for whole milk .,that,compares,compares,that,that compares with 3.5 % butterfat for whole milk .
"borden even tested a milk with 4 % butterfat in the south , but decided the market was too small .",borden,tested,was tested,market borden,"borden a milk with 4 % butterfat even tested in the south , but the market was too small decided ."
goya is selling leche fresca in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya,selling,selling,goya,goya leche fresca is selling in nearly 500 grocery stores and bodegas in new york and parts of new jersey .
"but lately , retailers say , fake has become more fashionable .",retailers,say,say,retailers,"but , retailers say , fake more fashionable lately has become ."
he reset opening arguments for today .,he,reset,reset,he,he opening arguments reset for today .
she now lives with relatives in alabama .,she,lives,lives,she,she now lives with relatives in alabama .
then he would move his movement to europe .,he,move,move,he,he his movement then would move to europe .
"for a while in the 1970s it seemed mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo .",it,seemed,was seemed,moon it,"for a while in the 1970s it mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo seemed ."
"insiders say that not even their editors know for sure how much these show-piece publications , along with the newspapers , have cost mr. moon .",insiders,say,say cost know,insiders publications editors,"insiders that not even their editors , , these show-piece publications mr. moon how much along with the newspapers have cost know for sure say ."
( europe had proved even less hospitable than north america .,europe,proved,proved,europe,( europe even less hospitable than north america had proved .
it said the situation is caused by efforts to streamline bloated factory payrolls .,it,said,said caused,it situation,it the situation is caused by efforts bloated factory payrolls to streamline said .
israel has been accused in the past of using subterfuge to seek elements needed to develop nuclear weapons .,israel,accused,accused,israel,israel has been accused in the past of subterfuge using elements nuclear weapons to develop needed to seek .
"venezuela will hold a debt-equity auction friday , with 32 potential bidders participating .",venezuela,hold,participating hold,bidders venezuela,"venezuela a debt-equity auction will hold friday , with 32 potential bidders participating ."
"earlier this year , venezuela announced it was opening up debt-equity swaps to foreign investors but said the program would be limited to a net disbursement of $ 600 million a year .",venezuela,announced,opening announced,it venezuela,"earlier this year , venezuela it debt-equity swaps was opening up to foreign investors announced but the program would be limited to a net disbursement of $ 600 million a year said ."
"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , fled the philippines for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they allegedly embezzled more than $ 100 million from their homeland .",they,charged,charged fled embezzled,they marcos they,"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , the philippines fled for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they more than $ 100 million allegedly embezzled from their homeland ."
"as a result , he said he will examine the marcos documents sought by the prosecutors to determine whether turning over the filings is self-incrimination .",he,said,said examine,he he,"as a result , he he the marcos documents sought by the prosecutors will examine whether the filings turning over is self-incrimination to determine said ."
ashurst is new to the far east .,ashurst,is,is,ashurst,ashurst is new to the far east .
sidley will maintain its association with the hashidate law office in tokyo .,sidley,maintain,maintain,sidley,sidley its association with the hashidate law office in tokyo will maintain .
employees wore identification badges listing not only their names but also their dates of hire .,employees,wore,wore,employees,employees identification badges not only their names but also their dates of hire listing wore .
"in recent years , nissan has instituted flex-time work schedules and allowed employees to dress casually , even in blue jeans .",nissan,instituted,instituted,nissan,"in recent years , nissan flex-time work schedules has instituted and employees to dress casually , even in blue jeans allowed ."
"and in a japanese corporate first , nissan recently opened the first coed company dormitory for single employees at the suburban tokyo technical center .",nissan,opened,opened,nissan,"and in a japanese corporate first , nissan the first coed company dormitory for single employees recently opened at the suburban tokyo technical center ."
"this corporate glasnost is a big reason nissan , after years of making lackluster cars and lousy profits , has loosened up its rigid ways and now is riding a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan .",nissan,loosened,loosened,nissan,"this corporate glasnost is a big reason , after years of lackluster cars and lousy profits making , nissan its rigid ways has loosened up and a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan now is riding ."
"at that time , tasks were assigned strictly on the basis of seniority .",tasks,assigned,assigned,tasks,"at that time , tasks were assigned strictly on the basis of seniority ."
"but when they arrived at the door , all were afraid to go in , fearing that they would be out of place .",they,arrived,arrived,they,"but they when arrived at the door , all were afraid to go in , that they would be out of place fearing ."
"since then , nissan also has launched new versions of the $ 13,249 240sx sporty coupe and 300zx sports car .",nissan,launched,launched,nissan,"since then , nissan new versions of the $ 13,249 240sx sporty coupe and 300zx sports car also has launched ."
nissan helped develop a tokyo restaurant with both vehicles as its design theme .,nissan,helped,helped,nissan,nissan a tokyo restaurant with both vehicles as its design theme develop helped .
nissan had 29 % of the japanese car market in 1980 before beginning a depressing eight-year slide that continued through last year .,nissan,had,had,nissan,nissan 29 % of the japanese car market had in 1980 before a depressing eight-year slide that continued through last year beginning .
"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan still trails toyota and honda .",nissan,trails,trails,nissan,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan toyota and honda still trails ."
"nissan hopes that that will start to change this fall , with its new version of the stanza compact sedan .",nissan,hopes,hopes start,nissan that,"nissan that that to change will start this fall , with its new version of the stanza compact sedan hopes ."
"but this year , honda has revamped the accord and made it a midsized car .",honda,revamped,revamped,honda,"but this year , honda the accord has revamped and it a midsized car made ."
"nissan instead has kept its new stanza a bit smaller than that and cut the base price 6 % ; at $ 11,450 , stanza prices start $ 749 below the predecessor model yet have a more-powerful engine .",nissan,kept,start kept,prices nissan,"nissan its new stanza a bit smaller than that instead has kept and 6 % cut the base price ; at $ 11,450 , stanza prices start yet $ 749 below the predecessor model a more-powerful engine have ."
nissan will introduce a completely revamped sentra next fall .,nissan,introduce,introduce,nissan,nissan a completely revamped sentra will introduce next fall .
"nissan will build only about 3,500 of the $ 38,000 infiniti q45 sedans each month , sending about 2,000 of them to the u.s. and keeping the rest for sale in japan .",nissan,build,build,nissan,"nissan only about 3,500 of the $ 38,000 infiniti q45 sedans will build each month , about 2,000 of them sending to the u.s. and the rest keeping for sale in japan ."
"toyota wants to sell about 49,000 lexus ls400 sedans next year in the u.s. alone .",toyota,wants,wants,toyota,"toyota about 49,000 lexus ls400 sedans to sell next year in the u.s. alone wants ."
"but on reflection , mr. oka says , he concluded that nissan is being prudent in following its slow-startup strategy instead of simply copying lexus .",he,concluded,concluded says,he oka,"but on reflection , mr. oka says , he that nissan is being prudent in its slow-startup strategy following instead of lexus simply copying concluded ."
"nissan had record net income of 114.63 billion yen ( $ 868 million ) in the fiscal year ended last march 31 , a remarkable recovery from the 20.39 billion yen of two years earlier , when the company lost money on operations .",nissan,had,had lost,nissan company,"nissan record net income of 114.63 billion yen ( $ 868 million ) in the fiscal year ended last march 31 , a remarkable recovery from the 20.39 billion yen of two years earlier , the company money when lost on operations had ."
nissan has increased earnings more than market share by cutting costs and by taking advantage of a general surge in japanese car sales .,nissan,increased,increased,nissan,nissan earnings has increased more than market share by costs cutting and by advantage taking of a general surge in japanese car sales .
"to help close the gap , nissan recently established a top-level cost-cutting committee .",nissan,established,established,nissan,"close the gap to help , nissan a top-level cost-cutting committee recently established ."
"that gives it an enviable strategic advantage , at least until its rivals catch up , but also plenty of managerial headaches .",that,gives,catch gives,rivals that,"that an enviable strategic advantage , at least until its rivals catch up , but also plenty of managerial headaches gives it ."
"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner,is,is,warner,"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc ."
bnl was unable to elaborate on what measures were planned by the bank to improve controls on its branches abroad .,bnl,was,planned was,measures bnl,bnl was unable to elaborate on what measures controls on its branches abroad to improve were planned by the bank .
"i am not a proponent of everything gandhi did , but some of his law breaking was justified because india was then under occupation by a foreign power , and indians were not able to participate fully in decisions that vitally affected them .",gandhi,did,did affected,gandhi decisions,"i am not a proponent of everything gandhi did , but some of his law breaking was justified because india was then under occupation by a foreign power , and indians were not able in decisions that them vitally affected to participate fully ."
demonstrations are particularly apt to degenerate into criminal conduct when they leave the site of the grievance and become mobile .,they,leave,leave are,they demonstrations,demonstrations are particularly apt to degenerate into criminal conduct they the site of the grievance when leave and mobile become .
he dies .,he,dies,dies,he,he dies .
"let us look for a moment at another type of non-violent civil disobedience that only harms other people indirectly , yet does irreparable damage to the nation as a whole .",us,look,look harms,us type,"us at another type of non-violent civil disobedience that other people only harms indirectly yet , irreparable damage does to the nation as a whole look for a moment let ."
it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .,it,is,is weight,it executions,it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .
"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course .",it,is,is,it,"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course ."
"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark attributed the gain to improved results in its consumer businesses in north america , brazil and korea .",kimberly-clark,attributed,attributed,kimberly-clark,"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark the gain attributed to improved results in its consumer businesses in north america , brazil and korea ."
"in the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit,rose,rose,profit,"in the first nine months , profit 10 % rose to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share ."
sales rose 6.7 % to $ 4.27 billion from $ 4 billion .,sales,rose,rose,sales,sales 6.7 % rose to $ 4.27 billion from $ 4 billion .
"in new york stock exchange composite trading , kimberly-clark closed at $ 66.50 a share , up $ 1.50 .",kimberly-clark,closed,closed,kimberly-clark,"in new york stock exchange composite trading , kimberly-clark closed up $ 1.50 at $ 66.50 a share , ."
"this is the year : unsuspecting filers of 1988 personal returns are being picked randomly for thorough audits to help the irs update its criteria for enforcement , audit selection , and use of resources .",this,is,is picked update,this filers irs,"this is the year : unsuspecting filers of 1988 personal returns the irs its criteria for enforcement , audit selection , and use of resources update to help are being picked randomly for thorough audits ."
