original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
"feeling the naggings of a culture imperative , i promptly signed up .",i,signed,signed,i,"the naggings of a culture imperative feeling , promptly signed up i ."
"they will also tell you that even if you hate heights , you can still balloon .",they,tell,tell,they,"you if heights even hate you , that can still balloon you will also tell they ."
we were coming down straight into their canal .,we,coming,coming,we,were coming down we straight into their canal .
we scuttled along for a few feet before he plunged us into the drink again .,we,scuttled,scuttled plunged,we he,scuttled along we for a few feet before us plunged again he into the drink .
eventually we came to rest in a soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the french half of our ballooning tag team scrambled in .,we,came,had came scrambled,we we half,to rest in a soggy patch of field the exquisite pleasure of scrambling out of the basket into the mud while scrambled in the french half of our ballooning tag team where had we eventually came we .
i looked at my watch .,i,looked,looked,i,looked i at my watch .
"back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .",we,drove,drove,we,"back in the chase car , some more drove around we , got stuck in a ditch , the aid of a local farmer the trailer hitch to get out and us pull out of the ditch enlisted ."
"this meant returning to the golf course , where we watched a few french duffers maul the first tee while we sat under cinzano umbrellas , me nursing an espresso and my ego .",this,meant,maul nursing meant watched sat,duffers me this we we,"returning to the golf course , the first tee maul a few french duffers while sat we under cinzano umbrellas , an espresso and my ego nursing me where watched we meant this ."
a whole morning of ballooning and i had been off the ground barely 30 minutes .,i,been,been,i,a whole morning of ballooning and had been off the ground i barely 30 minutes .
"at the same time , they contend that a reduction of nato forces under a treaty will increase the possibility of a conventional soviet attack unless the west retains a residual force of nuclear weapons in europe .",they,contend,contend increase retains,they reduction west,"at the same time , that the possibility of a conventional soviet attack will increase a reduction of nato forces under a treaty unless a residual force of nuclear weapons retains the west in europe contend they ."
tanks currently are defined as armored vehicles weighing 25 tons or more that carry large guns .,tanks,defined,defined,tanks,currently are defined tanks as armored vehicles 25 tons or more weighing large guns carry that .
they argue that the bigger danger would be that the west would delay action so long that the soviets might back away from the current conciliatory attitude .,they,argue,argue delay be back,they west danger soviets,that that action would delay so long that might back away from the current conciliatory attitude the soviets the west would be the bigger danger argue they .
i worry more about things becoming so unraveled on the other side that they might become unable to negotiate .,i,worry,worry become becoming,i they things,worry more i about so unraveled that unable to negotiate might become they becoming things on the other side .
"so far this year , it has put nearly $ 700 million into bottling operations in australia , new zealand and france .",it,put,put,it,"this year , nearly $ 700 million so far has put it into bottling operations in australia , new zealand and france ."
"in countries such as taiwan , south korea and singapore , economies are growing , resulting in a rise in disposable income that consumers can use for soft drinks .",economies,growing,use growing,consumers economies,"in countries such as taiwan , south korea and singapore , are growing economies , resulting in a rise in disposable income that can use consumers for soft drinks ."
"in the past , however , coke has typically taken a minority stake in such ventures .",coke,taken,taken,coke,"in the past , , a minority stake in such ventures however has typically taken coke ."
coke has tended to increase its control when results were sluggish in a given country .,coke,tended,were tended,results coke,its control to increase when were results sluggish in a given country has tended coke .
"ifi also has nonvoting preferred shares , which are quoted on the milan stock exchange .",ifi,has,has,ifi,"nonvoting preferred shares , which are quoted on the milan stock exchange also has ifi ."
"it raised financing of 300 billion lire for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a.",it,raised,raised,it,"financing of 300 billion lire raised it for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by a chunk of its ifi shares selling to mediobanca s.p . a."
mediobanca said during the weekend that it agreed to sell the shares back to giovanni agnelli for 333 billion lire .,mediobanca,said,agreed said,it mediobanca,that the shares to sell back to giovanni agnelli for 333 billion lire agreed it said mediobanca during the weekend .
it unfortunately encourages others to engage in a highly dangerous and illegal activity that only a very few are doing now .,it,encourages,encourages,it,others to engage in a highly dangerous and illegal activity that are doing now only a very few unfortunately encourages it .
"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it,treats,treats,it,"and such activities treats it in a frivolous , cavalier fashion , with total indifference to common sense and public safety ."
"democrats argued that the training wage was a way of allowing employers to pay less than the minimum wage , while new workers need far less than six months to be trained for their jobs .",democrats,argued,argued need was,democrats workers wage,"that was the training wage a way of employers less than the minimum wage to pay , while need new workers far less than six months to be trained for their jobs allowing argued democrats ."
democrats had been negotiating with some republican congressional leaders on a compromise lately .,democrats,negotiating,negotiating,democrats,had been negotiating lately democrats with some republican congressional leaders on a compromise .
republicans have been imploring the white house to compromise on the wage issue .,republicans,imploring,imploring,republicans,the white house to compromise on the wage issue have been imploring republicans .
"analysts expect armstrong to use proceeds of the sale to reduce debt , buy back stock or perhaps finance an acquisition .",analysts,expect,expect,analysts,"armstrong proceeds of the sale to use debt to reduce , stock buy back or an acquisition perhaps finance expect analysts ."
recently it upgraded its plants so that it could make stain-resistant products with higher quality dyes .,it,upgraded,upgraded make,it it,its plants recently upgraded it so that stain-resistant products with higher quality dyes could make it .
"analysts hailed the planned transaction as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share .",analysts,hailed,hailed,analysts,"the planned transaction hailed analysts as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share ."
"yesterday , armstrong reported flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year .",armstrong,reported,reported,armstrong,"yesterday , flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year reported armstrong ."
"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million .",earnings,were,were,earnings,"for the quarter , were earnings $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million ."
"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share .",earnings,were,were,earnings,"in the year-ago quarter , were earnings $ 42.9 million , or 93 cents a share ."
"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong,announced,announced,armstrong,"yesterday , an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd announced armstrong ."
"armstrong expects to close the sale of the color unit in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results .",armstrong,expects,applied expects,gains armstrong,"the sale of the color unit to close in late november and the carpet sale in december , with to be applied the gains to fourth quarter or first-quarter results expects armstrong ."
"these include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods .",these,include,include,these,"new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods include these ."
"after various adjustments , they produced a 0.5 % rise in the index for august and a 0.2 % rise for september .",they,produced,produced,they,"after various adjustments , a 0.5 % rise in the index for august and a 0.2 % rise for september produced they ."
"he is 37 , an astronomer with impressive credentials , and something of a genius at making computers do his bidding .",he,is,is do,he computers,"is he 37 , an astronomer with impressive credentials , and something of a genius at his bidding do computers making ."
"he also is an entertaining writer , combining wisecracks and wordplay with programmatic detail and lucid explanations of how computers work .",he,is,is work,he computers,"also is he an entertaining writer , wisecracks and wordplay combining with programmatic detail and lucid explanations of how work computers ."
they promised yet more for really good stuff .,they,promised,promised,they,yet more for really good stuff promised they .
"but after much tracking , it became evident to mr. stoll , through various clues , that the hacker was not on the berkeley campus or even in california .",it,became,became was,it hacker,"but after much tracking , evident that was the hacker not on the berkeley campus or even in california became it to mr. stoll , through various clues , ."
"after discovering that the hacker had taken over the dormant account of a legitimate user named joe sventek , he rigged up an alarm system , including a portable beeper , to alert him when sventek came on the line .",he,rigged,came rigged taken,sventek he hacker,"after that the dormant account of a legitimate user joe sventek named had taken over the hacker discovering , an alarm system , including a portable beeper , him to alert when came sventek on the line rigged up he ."
some nights he slept under his desk .,he,slept,slept,he,some nights slept he under his desk .
tymnet is a major network linking computers .,tymnet,is,is,tymnet,is tymnet a major network computers linking .
he savored the humor of his uncombed appearance among these buttoned-up chaps .,he,savored,savored,he,the humor of his uncombed appearance among these buttoned-up chaps savored he .
he became angry in return .,he,became,became,he,angry became he in return .
mips also wants to wedge into markets other than traditional risc applications such as engineering ; mips said the new machine will also be used by businesses and for communications .,mips,wants,used said wants,machine mips mips,to wedge into markets other than traditional risc applications such as engineering also wants mips ; will also be used the new machine by businesses and for communications said mips .
and that puts added pressure on chez panisse dessert-menu planners .,that,puts,puts,that,and added pressure puts that on chez panisse dessert-menu planners .
"a year earlier unifirst earned $ 2.4 million , or 24 cents a share adjusted for the split .",unifirst,earned,earned,unifirst,"$ 2.4 million , or 24 cents a share adjusted for the split a year earlier earned unifirst ."
sales rose to $ 52.4 million from $ 50.1 million .,sales,rose,rose,sales,rose sales to $ 52.4 million from $ 50.1 million .
"healthcare has given healthvest a 12 % note for that overdue amount , to be repaid over three years .",healthcare,given,given,healthcare,"a 12 % note for that overdue amount , to be repaid over three years has given healthcare healthvest ."
"in addition , healthcare agreed to make monthly rent and mortgage payments of $ 2.7 million to $ 3 million to healthvest during the standstill period , to be paid when healthcare successfully completes asset sales .",healthcare,agreed,completes agreed,healthcare healthcare,"in addition , monthly rent and mortgage payments of $ 2.7 million to $ 3 million to healthvest to be paid asset sales when successfully completes healthcare to make during the standstill period , agreed healthcare ."
i was pleased to note that your oct. 23 centennial journal item recognized the money-fund concept as one of the significant events of the past century .,i,was,was recognized,i item,was i pleased that the money-fund concept recognized your oct. 23 centennial journal item as one of the significant events of the past century to note .
"we innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec .",we,innovated,innovated,we,"telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , were all of which painfully thought out and not the result of some inadvertence on the part of the sec innovated we ."
"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare .",he,heralded,marched heralded,judge he,"as marched the judge down the center aisle in his flowing black robe , was heralded he by a trumpet fanfare ."
"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it,was,was,it,"to many , was it a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains ."
"while his case may be extreme , it reflects the vulnerability of many small communities to domineering judges .",it,reflects,reflects,it,"while his case may be extreme , the vulnerability of many small communities to domineering judges reflects it ."
"bailiffs claimed they were required to chauffeur him to and from work , mow his lawn , chop his wood , fix his car and even drop by his house to feed his two grown mutts , dixie and husky .",bailiffs,claimed,required claimed,they bailiffs,"him to chauffeur to and from work , his lawn mow , his wood chop , his car fix and his house even drop by his two grown mutts , dixie and husky to feed were required they claimed bailiffs ."
"even if only some of the allegations stand up , however , they provide ample testimony to the awesome power of judges in rural communities .",they,provide,provide,they,"if even stand up only some of the allegations , , ample testimony to the awesome power of judges in rural communities however provide they ."
"he graduated near the top of his class , serving on the school law review with richard thornburgh , who went on to become governor of pennsylvania and , now , u.s. attorney general .",he,graduated,graduated went,he thornburgh,"serving with richard thornburgh , who governor of pennsylvania and , now , u.s. attorney general to become went on on the school law review graduated he near the top of his class , ."
he divorced his first wife three years ago and married the daughter of his court clerk .,he,divorced,divorced,he,his first wife divorced three years ago he and the daughter of his court clerk married .
"after practicing law locally , he was elected to his first 10-year term as judge in 1971 ; in 1981 , he was effectively re-elected .",he,elected,elected re-elected,he he,"after law practicing locally , was elected he to his first 10-year term as judge in 1971 ; in 1981 , was effectively re-elected he ."
he has been considered several times for appointments to federal district and appellate court vacancies in pennsylvania .,he,considered,considered,he,has been considered he several times for appointments to federal district and appellate court vacancies in pennsylvania .
"he sipped tea sweetened with honey from his high-backed leather chair at his bench , while scribbling notes ordering spectators to stop whispering or to take off their hats in his courtroom .",he,sipped,stop sipped,spectators he,"tea sweetened with honey sipped he from his high-backed leather chair at his bench , while notes whispering to stop spectators or their hats to take off in his courtroom ordering scribbling ."
"but when the judge received his payment book , he disavowed the deal .",he,disavowed,disavowed received,he judge,"but his payment book when received the judge , the deal disavowed he ."
i await his sequel : the economic and social resiliency of the san francisco bay area and the outstanding work of the local governments and the private charitable organizations there as metaphors for the supremacy of whatever failed system mr. cockburn now believes in .,i,await,await believes,i cockburn,his sequel : the economic and social resiliency of the san francisco bay area and the outstanding work of the local governments and the private charitable organizations there as metaphors for the supremacy of whatever failed system in now believes mr. cockburn await i .
"as a money manager and a grass-roots environmentalist , i was very disappointed to read in the premiere issue of garbage that the wall street journal uses 220,000 metric tons of newsprint each year , but that only 1.4 % of it comes from recycled paper .",i,was,was uses comes,i journal %,"as a money manager and a grass-roots environmentalist , was i very disappointed that 220,000 metric tons of newsprint uses the wall street journal each year , but that comes only 1.4 % of it from recycled paper to read in the premiere issue of garbage ."
"berthold is based in wildbad , west germany , and also has operations in belgium .",berthold,based,based,berthold,"is based berthold in wildbad , west germany , and operations in belgium also has ."
"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason,is,is,mason,"is mason the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees ."
"mason serves commercial and government customers , including the national institutes of health .",mason,serves,serves,mason,"commercial and government customers , including the national institutes of health serves mason ."
"although the action removes one obstacle in the way of an overall settlement to the case , it also means that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c .",it,means,means stripped removes rules,it hunt action court,"although one obstacle in the way of an overall settlement to the case removes the action , that could be stripped mr. hunt of virtually all of his assets if rules the tax court against him in a 1982 case heard earlier this year in washington , d.c also means it ."
japan has found another safe outlet for its money : u.s. home mortgages .,japan,found,found,japan,another safe outlet for its money : u.s. home mortgages has found japan .
that may not come as a surprise to americans who have watched the japanese snap up properties in the u.s. from golf courses to a stake in rockefeller center .,that,come,come watched snap,that americans japanese,may not come that as a surprise to americans who properties in the u.s. from golf courses to a stake in rockefeller center snap up the japanese have watched .
"but it marks a big change for the japanese , who shunned mortgage securities after getting burned by a big downturn in interest rates a few years back .",it,marks,marks shunned,it japanese,"but a big change for the japanese , who mortgage securities shunned after getting burned a few years back by a big downturn in interest rates marks it ."
"at the moment , nomura is the only japanese institution authorized to act as a primary seller of fannie mae instruments .",nomura,is,is,nomura,"at the moment , is nomura the only japanese institution to act as a primary seller of fannie mae instruments authorized ."
"first , they are safe .",they,are,are,they,"first , are they safe ."
"second , they are liquid .",they,are,are,they,"second , are they liquid ."
"he said his suit against enfield seeks two years severance pay , equivalent to c$ 720,000 .",he,said,seeks said,suit he,"two years severance pay , equivalent to c$ 720,000 seeks his suit against enfield said he ."
enfield is a holding company with interests in manufacturing concerns .,enfield,is,is,enfield,is enfield a holding company with interests in manufacturing concerns .
"it is 38.5 % owned by canadian express , another holding company .",it,owned,owned,it,"38.5 % is owned it by canadian express , another holding company ."
hees is a merchant bank controlled by toronto financiers peter and edward bronfman .,hees,is,is,hees,is hees a merchant bank controlled by toronto financiers peter and edward bronfman .
"first of all , it is a friendly acquisition in which rockefeller sought out mitsubishi estate and asked it to buy a majority share .",it,is,is sought,it rockefeller,"first of all , is it a friendly acquisition in which mitsubishi estate sought out rockefeller and it a majority share to buy asked ."
"rockefeller may well have found its match in mitsubishi estate , a company of long history , strong government ties and sound resources .",rockefeller,found,found,rockefeller,"its match may well have found rockefeller in mitsubishi estate , a company of long history , strong government ties and sound resources ."
"at the time , japan had just opened its doors to the world after about 250 years of isolation and needed a western-style business center .",japan,opened,opened,japan,"at the time , its doors had just opened japan to the world after about 250 years of isolation and a western-style business center needed ."
analysts say the company also could easily issue new convertible bonds or warrants .,analysts,say,issue say,company analysts,new convertible bonds or warrants also could easily issue the company say analysts .
"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it,is,is,it,"is it the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo ."
"mitsubishi is also pushing ahead with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi,pushing,pushing,mitsubishi,"is also pushing ahead mitsubishi with a controversial plan marunouchi to redevelop into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen ."
sony is acquiring columbia and guber-peters entertainment co. in two separate transactions valued at more than $ 5 billion .,sony,acquiring,acquiring,sony,columbia and guber-peters entertainment co. is acquiring sony in two separate transactions valued at more than $ 5 billion .
warner has a five-year exclusive contract with mr. guber and mr. peters that requires them to make movies exclusively at the warner bros. studio .,warner,has,has,warner,a five-year exclusive contract with mr. guber and mr. peters that them movies to make exclusively at the warner bros. studio requires has warner .
"but it may amount to little more than posturing ; the two have continued on-again , off-again settlement talks over the last few weeks , and people familiar with the talks say the matter could be resolved within a week .",it,amount,amount resolved say,it matter people,"but may amount it to little more than posturing ; on-again , off-again settlement talks have continued the two over the last few weeks , and could be resolved the matter within a week say people familiar with the talks ."
seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking .,seagram,says,designed says,promotion seagram,brand loyalty to build rather than heavy drinking promote is designed the promotion says seagram .
goya concocts a milk for hispanic tastes,goya,concocts,concocts,goya,a milk for hispanic tastes concocts goya
that compares with 3.5 % butterfat for whole milk .,that,compares,compares,that,compares that with 3.5 % butterfat for whole milk .
"borden even tested a milk with 4 % butterfat in the south , but decided the market was too small .",borden,tested,was tested,market borden,"a milk with 4 % butterfat even tested borden in the south , but was the market too small decided ."
goya is selling leche fresca in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya,selling,selling,goya,leche fresca is selling goya in nearly 500 grocery stores and bodegas in new york and parts of new jersey .
"but lately , retailers say , fake has become more fashionable .",retailers,say,say,retailers,"but , say retailers , more fashionable lately has become fake ."
but there are limits .,limits,are,are,limits,but there are limits .
trifari now trains sales help to advise customers on the best earring styles .,trifari,trains,trains,trifari,sales help customers to advise on the best earring styles now trains trifari .
he reset opening arguments for today .,he,reset,reset,he,opening arguments reset he for today .
