original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
"despite the modest gains , traders said the market remains dull , with investors remaining cautiously on the sidelines .",traders,said,remains remaining said,market investors traders,"despite the modest gains , traders said the market remains dull , with investors remaining cautiously on the sidelines ."
prices were mixed in zurich and lower in stockholm .,prices,were,were,prices,prices were mixed in zurich and lower in stockholm .
"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul .",stocks,closed,closed,stocks,"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul ."
taipei was closed for a holiday .,taipei,closed,closed,taipei,taipei was closed for a holiday .
he said summer drought problems that had hit several southern agricultural regions had stopped being a major source of price pressure in september .,he,said,said stopped,he problems,he said summer drought problems that had hit several southern agricultural regions had stopped being a major source of price pressure in september .
"metromedia said its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million .",metromedia,said,said is,metromedia unit,"metromedia said its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million ."
"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said .",banxquote,said,was said,yield banxquote,"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said ."
"for longer-term cds , yields were up .",yields,were,were,yields,"for longer-term cds , yields were up ."
"feeling the naggings of a culture imperative , i promptly signed up .",i,signed,signed,i,"feeling the naggings of a culture imperative , i promptly signed up ."
we were coming down straight into their canal .,we,coming,coming,we,we were coming down straight into their canal .
i looked at my watch .,i,looked,looked,i,i looked at my watch .
a whole morning of ballooning and i had been off the ground barely 30 minutes .,i,been,been,i,a whole morning of ballooning and i had been off the ground barely 30 minutes .
"at the same time , they contend that a reduction of nato forces under a treaty will increase the possibility of a conventional soviet attack unless the west retains a residual force of nuclear weapons in europe .",they,contend,increase retains contend,reduction west they,"at the same time , they contend that a reduction of nato forces under a treaty will increase the possibility of a conventional soviet attack unless the west retains a residual force of nuclear weapons in europe ."
tanks currently are defined as armored vehicles weighing 25 tons or more that carry large guns .,tanks,defined,defined,tanks,tanks currently are defined as armored vehicles weighing 25 tons or more that carry large guns .
coke has tended to increase its control when results were sluggish in a given country .,coke,tended,were tended,results coke,coke has tended to increase its control when results were sluggish in a given country .
"ifi also has nonvoting preferred shares , which are quoted on the milan stock exchange .",ifi,has,has,ifi,"ifi also has nonvoting preferred shares , which are quoted on the milan stock exchange ."
"it raised financing of 300 billion lire for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a.",it,raised,raised,it,"it raised financing of 300 billion lire for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a."
"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it,treats,treats,it,"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety ."
"democrats argued that the training wage was a way of allowing employers to pay less than the minimum wage , while new workers need far less than six months to be trained for their jobs .",democrats,argued,argued was need,democrats wage workers,"democrats argued that the training wage was a way of allowing employers to pay less than the minimum wage , while new workers need far less than six months to be trained for their jobs ."
republicans have been imploring the white house to compromise on the wage issue .,republicans,imploring,imploring,republicans,republicans have been imploring the white house to compromise on the wage issue .
"analysts expect armstrong to use proceeds of the sale to reduce debt , buy back stock or perhaps finance an acquisition .",analysts,expect,expect,analysts,"analysts expect armstrong to use proceeds of the sale to reduce debt , buy back stock or perhaps finance an acquisition ."
"analysts hailed the planned transaction as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share .",analysts,hailed,hailed,analysts,"analysts hailed the planned transaction as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share ."
"yesterday , armstrong reported flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year .",armstrong,reported,reported,armstrong,"yesterday , armstrong reported flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year ."
"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million .",earnings,were,were,earnings,"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million ."
"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share .",earnings,were,were,earnings,"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share ."
"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong,announced,announced,armstrong,"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd ."
"armstrong expects to close the sale of the color unit in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results .",armstrong,expects,expects applied,armstrong gains,"armstrong expects to close the sale of the color unit in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results ."
"these include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods .",these,include,include,these,"these include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods ."
"after various adjustments , they produced a 0.5 % rise in the index for august and a 0.2 % rise for september .",they,produced,produced,they,"after various adjustments , they produced a 0.5 % rise in the index for august and a 0.2 % rise for september ."
"he is 37 , an astronomer with impressive credentials , and something of a genius at making computers do his bidding .",he,is,is do,he computers,"he is 37 , an astronomer with impressive credentials , and something of a genius at making computers do his bidding ."
they promised yet more for really good stuff .,they,promised,promised,they,they promised yet more for really good stuff .
some nights he slept under his desk .,he,slept,slept,he,some nights he slept under his desk .
tymnet is a major network linking computers .,tymnet,is,is,tymnet,tymnet is a major network linking computers .
he savored the humor of his uncombed appearance among these buttoned-up chaps .,he,savored,savored,he,he savored the humor of his uncombed appearance among these buttoned-up chaps .
he became angry in return .,he,became,became,he,he became angry in return .
mips also wants to wedge into markets other than traditional risc applications such as engineering ; mips said the new machine will also be used by businesses and for communications .,mips,wants,used said wants,machine mips mips,mips also wants to wedge into markets other than traditional risc applications such as engineering ; mips said the new machine will also be used by businesses and for communications .
and that puts added pressure on chez panisse dessert-menu planners .,that,puts,puts,that,and that puts added pressure on chez panisse dessert-menu planners .
sales rose to $ 52.4 million from $ 50.1 million .,sales,rose,rose,sales,sales rose to $ 52.4 million from $ 50.1 million .
i was pleased to note that your oct. 23 centennial journal item recognized the money-fund concept as one of the significant events of the past century .,i,was,was recognized,i item,i was pleased to note that your oct. 23 centennial journal item recognized the money-fund concept as one of the significant events of the past century .
"we innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec .",we,innovated,innovated,we,"we innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec ."
"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare .",he,heralded,heralded marched,he judge,"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare ."
"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it,was,was,it,"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains ."
"while his case may be extreme , it reflects the vulnerability of many small communities to domineering judges .",it,reflects,reflects,it,"while his case may be extreme , it reflects the vulnerability of many small communities to domineering judges ."
"bailiffs claimed they were required to chauffeur him to and from work , mow his lawn , chop his wood , fix his car and even drop by his house to feed his two grown mutts , dixie and husky .",bailiffs,claimed,claimed required,bailiffs they,"bailiffs claimed they were required to chauffeur him to and from work , mow his lawn , chop his wood , fix his car and even drop by his house to feed his two grown mutts , dixie and husky ."
he has been considered several times for appointments to federal district and appellate court vacancies in pennsylvania .,he,considered,considered,he,he has been considered several times for appointments to federal district and appellate court vacancies in pennsylvania .
"he sipped tea sweetened with honey from his high-backed leather chair at his bench , while scribbling notes ordering spectators to stop whispering or to take off their hats in his courtroom .",he,sipped,sipped stop,he spectators,"he sipped tea sweetened with honey from his high-backed leather chair at his bench , while scribbling notes ordering spectators to stop whispering or to take off their hats in his courtroom ."
"berthold is based in wildbad , west germany , and also has operations in belgium .",berthold,based,based,berthold,"berthold is based in wildbad , west germany , and also has operations in belgium ."
"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason,is,is,mason,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees ."
"mason serves commercial and government customers , including the national institutes of health .",mason,serves,serves,mason,"mason serves commercial and government customers , including the national institutes of health ."
"although the action removes one obstacle in the way of an overall settlement to the case , it also means that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c .",it,means,removes stripped means rules,action hunt it court,"although the action removes one obstacle in the way of an overall settlement to the case , it also means that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c ."
japan has found another safe outlet for its money : u.s. home mortgages .,japan,found,found,japan,japan has found another safe outlet for its money : u.s. home mortgages .
that may not come as a surprise to americans who have watched the japanese snap up properties in the u.s. from golf courses to a stake in rockefeller center .,that,come,watched come snap,americans that japanese,that may not come as a surprise to americans who have watched the japanese snap up properties in the u.s. from golf courses to a stake in rockefeller center .
"at the moment , nomura is the only japanese institution authorized to act as a primary seller of fannie mae instruments .",nomura,is,is,nomura,"at the moment , nomura is the only japanese institution authorized to act as a primary seller of fannie mae instruments ."
"first , they are safe .",they,are,are,they,"first , they are safe ."
"second , they are liquid .",they,are,are,they,"second , they are liquid ."
"he said his suit against enfield seeks two years severance pay , equivalent to c$ 720,000 .",he,said,said seeks,he suit,"he said his suit against enfield seeks two years severance pay , equivalent to c$ 720,000 ."
enfield is a holding company with interests in manufacturing concerns .,enfield,is,is,enfield,enfield is a holding company with interests in manufacturing concerns .
hees is a merchant bank controlled by toronto financiers peter and edward bronfman .,hees,is,is,hees,hees is a merchant bank controlled by toronto financiers peter and edward bronfman .
"first of all , it is a friendly acquisition in which rockefeller sought out mitsubishi estate and asked it to buy a majority share .",rockefeller,sought,sought is,rockefeller it,"first of all , it is a friendly acquisition in which rockefeller sought out mitsubishi estate and asked it to buy a majority share ."
"rockefeller may well have found its match in mitsubishi estate , a company of long history , strong government ties and sound resources .",rockefeller,found,found,rockefeller,"rockefeller may well have found its match in mitsubishi estate , a company of long history , strong government ties and sound resources ."
"at the time , japan had just opened its doors to the world after about 250 years of isolation and needed a western-style business center .",japan,opened,opened,japan,"at the time , japan had just opened its doors to the world after about 250 years of isolation and needed a western-style business center ."
analysts say the company also could easily issue new convertible bonds or warrants .,analysts,say,say issue,analysts company,analysts say the company also could easily issue new convertible bonds or warrants .
"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it,is,is,it,"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo ."
"mitsubishi is also pushing ahead with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi,pushing,pushing,mitsubishi,"mitsubishi is also pushing ahead with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen ."
sony is acquiring columbia and guber-peters entertainment co. in two separate transactions valued at more than $ 5 billion .,sony,acquiring,acquiring,sony,sony is acquiring columbia and guber-peters entertainment co. in two separate transactions valued at more than $ 5 billion .
warner has a five-year exclusive contract with mr. guber and mr. peters that requires them to make movies exclusively at the warner bros. studio .,warner,has,has,warner,warner has a five-year exclusive contract with mr. guber and mr. peters that requires them to make movies exclusively at the warner bros. studio .
"but it may amount to little more than posturing ; the two have continued on-again , off-again settlement talks over the last few weeks , and people familiar with the talks say the matter could be resolved within a week .",it,amount,amount resolved say,it matter people,"but it may amount to little more than posturing ; the two have continued on-again , off-again settlement talks over the last few weeks , and people familiar with the talks say the matter could be resolved within a week ."
seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking .,seagram,says,says designed,seagram promotion,seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking .
goya concocts a milk for hispanic tastes,goya,concocts,concocts,goya,goya concocts a milk for hispanic tastes
that compares with 3.5 % butterfat for whole milk .,that,compares,compares,that,that compares with 3.5 % butterfat for whole milk .
"borden even tested a milk with 4 % butterfat in the south , but decided the market was too small .",borden,tested,was tested,market borden,"borden even tested a milk with 4 % butterfat in the south , but decided the market was too small ."
goya is selling leche fresca in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya,selling,selling,goya,goya is selling leche fresca in nearly 500 grocery stores and bodegas in new york and parts of new jersey .
trifari now trains sales help to advise customers on the best earring styles .,trifari,trains,trains,trifari,trifari now trains sales help to advise customers on the best earring styles .
he reset opening arguments for today .,he,reset,reset,he,he reset opening arguments for today .
she now lives with relatives in alabama .,she,lives,lives,she,she now lives with relatives in alabama .
but that was not to be .,that,was,was,that,but that was not to be .
"for a while in the 1970s it seemed mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo .",it,seemed,was seemed,moon it,"for a while in the 1970s it seemed mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo ."
i attended several of these in the dual role as a presenter of research findings as well as an investigator of my hosts .,i,attended,attended,i,i attended several of these in the dual role as a presenter of research findings as well as an investigator of my hosts .
( europe had proved even less hospitable than north america .,europe,proved,proved,europe,( europe had proved even less hospitable than north america .
it said the situation is caused by efforts to streamline bloated factory payrolls .,it,said,said caused,it situation,it said the situation is caused by efforts to streamline bloated factory payrolls .
israel has been accused in the past of using subterfuge to seek elements needed to develop nuclear weapons .,israel,accused,accused,israel,israel has been accused in the past of using subterfuge to seek elements needed to develop nuclear weapons .
poland is the second communist nation to recognize the seoul government ; south korea established diplomatic relations with hungary in february 1989 .,poland,is,is established,poland korea,poland is the second communist nation to recognize the seoul government ; south korea established diplomatic relations with hungary in february 1989 .
"venezuela will hold a debt-equity auction friday , with 32 potential bidders participating .",venezuela,hold,hold participating,venezuela bidders,"venezuela will hold a debt-equity auction friday , with 32 potential bidders participating ."
"earlier this year , venezuela announced it was opening up debt-equity swaps to foreign investors but said the program would be limited to a net disbursement of $ 600 million a year .",venezuela,announced,opening announced,it venezuela,"earlier this year , venezuela announced it was opening up debt-equity swaps to foreign investors but said the program would be limited to a net disbursement of $ 600 million a year ."
"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , fled the philippines for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they allegedly embezzled more than $ 100 million from their homeland .",they,charged,charged fled embezzled,they marcos they,"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , fled the philippines for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they allegedly embezzled more than $ 100 million from their homeland ."
"as a result , he said he will examine the marcos documents sought by the prosecutors to determine whether turning over the filings is self-incrimination .",he,said,examine said,he he,"as a result , he said he will examine the marcos documents sought by the prosecutors to determine whether turning over the filings is self-incrimination ."
ashurst is new to the far east .,ashurst,is,is,ashurst,ashurst is new to the far east .
sidley will maintain its association with the hashidate law office in tokyo .,sidley,maintain,maintain,sidley,sidley will maintain its association with the hashidate law office in tokyo .
employees wore identification badges listing not only their names but also their dates of hire .,employees,wore,wore,employees,employees wore identification badges listing not only their names but also their dates of hire .
"in recent years , nissan has instituted flex-time work schedules and allowed employees to dress casually , even in blue jeans .",nissan,instituted,instituted,nissan,"in recent years , nissan has instituted flex-time work schedules and allowed employees to dress casually , even in blue jeans ."
"and in a japanese corporate first , nissan recently opened the first coed company dormitory for single employees at the suburban tokyo technical center .",nissan,opened,opened,nissan,"and in a japanese corporate first , nissan recently opened the first coed company dormitory for single employees at the suburban tokyo technical center ."
"at that time , tasks were assigned strictly on the basis of seniority .",tasks,assigned,assigned,tasks,"at that time , tasks were assigned strictly on the basis of seniority ."
"desperately hoping to spark sales , nissan transferred 5,000 middle managers and plant workers to dealerships .",nissan,transferred,transferred,nissan,"desperately hoping to spark sales , nissan transferred 5,000 middle managers and plant workers to dealerships ."
"since then , nissan also has launched new versions of the $ 13,249 240sx sporty coupe and 300zx sports car .",nissan,launched,launched,nissan,"since then , nissan also has launched new versions of the $ 13,249 240sx sporty coupe and 300zx sports car ."
"in its home market , nissan has grabbed attention with limited-production minicars featuring styling odd enough to be cute .",nissan,grabbed,grabbed,nissan,"in its home market , nissan has grabbed attention with limited-production minicars featuring styling odd enough to be cute ."
nissan helped develop a tokyo restaurant with both vehicles as its design theme .,nissan,helped,helped,nissan,nissan helped develop a tokyo restaurant with both vehicles as its design theme .
nissan had 29 % of the japanese car market in 1980 before beginning a depressing eight-year slide that continued through last year .,nissan,had,had,nissan,nissan had 29 % of the japanese car market in 1980 before beginning a depressing eight-year slide that continued through last year .
"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan still trails toyota and honda .",nissan,trails,trails,nissan,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan still trails toyota and honda ."
"nissan hopes that that will start to change this fall , with its new version of the stanza compact sedan .",nissan,hopes,hopes start,nissan that,"nissan hopes that that will start to change this fall , with its new version of the stanza compact sedan ."
"but this year , honda has revamped the accord and made it a midsized car .",honda,revamped,revamped,honda,"but this year , honda has revamped the accord and made it a midsized car ."
nissan will introduce a completely revamped sentra next fall .,nissan,introduce,introduce,nissan,nissan will introduce a completely revamped sentra next fall .
nissan started advertising infiniti fully eight months before the cars hit american showrooms .,nissan,started,started hit,nissan cars,nissan started advertising infiniti fully eight months before the cars hit american showrooms .
"nissan will build only about 3,500 of the $ 38,000 infiniti q45 sedans each month , sending about 2,000 of them to the u.s. and keeping the rest for sale in japan .",nissan,build,build,nissan,"nissan will build only about 3,500 of the $ 38,000 infiniti q45 sedans each month , sending about 2,000 of them to the u.s. and keeping the rest for sale in japan ."
"toyota wants to sell about 49,000 lexus ls400 sedans next year in the u.s. alone .",toyota,wants,wants,toyota,"toyota wants to sell about 49,000 lexus ls400 sedans next year in the u.s. alone ."
"but on reflection , mr. oka says , he concluded that nissan is being prudent in following its slow-startup strategy instead of simply copying lexus .",he,concluded,concluded says,he oka,"but on reflection , mr. oka says , he concluded that nissan is being prudent in following its slow-startup strategy instead of simply copying lexus ."
"but nissan expects to earn only 120 billion yen in the current fiscal year , a modest increase of 4.7 % .",nissan,expects,expects,nissan,"but nissan expects to earn only 120 billion yen in the current fiscal year , a modest increase of 4.7 % ."
"the big reason : for all its cost-cutting , nissan remains less efficient than toyota .",nissan,remains,remains,nissan,"the big reason : for all its cost-cutting , nissan remains less efficient than toyota ."
"to help close the gap , nissan recently established a top-level cost-cutting committee .",nissan,established,established,nissan,"to help close the gap , nissan recently established a top-level cost-cutting committee ."
"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner,is,is,warner,"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc ."
"he recently told a small group of american businessmen in moscow that he hoped to sign a general trade agreement with the u.s. , possibly at the 1990 summit .",he,told,told hoped,he he,"he recently told a small group of american businessmen in moscow that he hoped to sign a general trade agreement with the u.s. , possibly at the 1990 summit ."
"they are useful to call public attention to grievances , but they have little value in educating anyone about the issues in dispute .",they,are,are have,they they,"they are useful to call public attention to grievances , but they have little value in educating anyone about the issues in dispute ."
"where non-violent civil disobedience is the centerpiece , rather than a lawful demonstration that may only attract crime , it is difficult to justify .",it,is,attract is is,demonstration it disobedience,"where non-violent civil disobedience is the centerpiece , rather than a lawful demonstration that may only attract crime , it is difficult to justify ."
they say these are small prices to pay for galvanizing action for the all-important cause .,they,say,say are,they these,they say these are small prices to pay for galvanizing action for the all-important cause .
he dies .,he,dies,dies,he,he dies .
it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .,it,is,is weight,it executions,it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .
"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course .",it,is,is,it,"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course ."
sales rose 6.2 % to $ 1.45 billion from $ 1.37 billion .,sales,rose,rose,sales,sales rose 6.2 % to $ 1.45 billion from $ 1.37 billion .
"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark attributed the gain to improved results in its consumer businesses in north america , brazil and korea .",kimberly-clark,attributed,attributed,kimberly-clark,"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark attributed the gain to improved results in its consumer businesses in north america , brazil and korea ."
"in the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit,rose,rose,profit,"in the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share ."
sales rose 6.7 % to $ 4.27 billion from $ 4 billion .,sales,rose,rose,sales,sales rose 6.7 % to $ 4.27 billion from $ 4 billion .
but they also are to see that taxpayers get all allowable tax benefits and to ask if filers who sought irs aid were satisfied with it .,they,are,get are were,taxpayers they filers,but they also are to see that taxpayers get all allowable tax benefits and to ask if filers who sought irs aid were satisfied with it .
but they were stripped from the senate bill after staffers estimated penalty revenue would fall by $ 216 million over five years .,they,stripped,estimated stripped fall,staffers they revenue,but they were stripped from the senate bill after staffers estimated penalty revenue would fall by $ 216 million over five years .
states are following suit .,states,following,following,states,states are following suit .
california enacted a rights law in 1988 .,california,enacted,enacted,california,california enacted a rights law in 1988 .
hugo felled vast timberlands .,hugo,felled,felled,hugo,hugo felled vast timberlands .
"that may leave a lot of leeway for u.s. bankruptcy judge burton r. lifland to decide what , if anything , the pilots actually collect .",that,leave,leave decide,that lifland,"that may leave a lot of leeway for u.s. bankruptcy judge burton r. lifland to decide what , if anything , the pilots actually collect ."
"in august , he issued the ruling that let the pilots pursue their back-pay grievance before the arbitrator .",he,issued,pursue issued,pilots he,"in august , he issued the ruling that let the pilots pursue their back-pay grievance before the arbitrator ."
"in a statement to employees , eastern said the company was disappointed by the ruling .",eastern,said,was said,company eastern,"in a statement to employees , eastern said the company was disappointed by the ruling ."
